package,test,result,log,elapsed_seconds,completed_runs
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminProcessRejectsRemovedAuthenticationConfiguration/ADMIN_AUTH_DISABLEDADMIN_AUTH_DISABLED=false,pass,rcc-goose-t3-integration.jsonl,0.02,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminProcessRejectsRemovedAuthenticationConfiguration/ADMIN_AUTH_DISABLEDADMIN_AUTH_DISABLED=true,pass,rcc-goose-t3-integration.jsonl,0.02,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminProcessRejectsRemovedAuthenticationConfiguration/ADMIN_CORS_ORIGINSADMIN_CORS_ORIGINS=https://old.example,pass,rcc-goose-t3-integration.jsonl,0.02,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminProcessRejectsRemovedAuthenticationConfiguration/ADMIN_OPERATORADMIN_OPERATOR=old-operator,pass,rcc-goose-t3-integration.jsonl,0.01,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminProcessRejectsUnavailableRequiredDatabase,pass,rcc-goose-t3-integration.jsonl,1.64,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAdminProcessServesUnauthenticatedLiveness,pass,rcc-goose-t3-integration.jsonl,13.44,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestApprovedPublicationRechecksPolicyAndNextDraftUsesReplacement,pass,rcc-goose-t3-integration.jsonl,8.23,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestAssignedDeprecatedPolicyDefinitionsRemainQueryable,pass,rcc-goose-t3-integration.jsonl,9.65,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestBusinessAPIsRequireSessionAndCSRF,pass,rcc-goose-t3-integration.jsonl,22.28,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestCommittedWritesRemainSingleWhenHTTPResponsesAreLost,pass,rcc-goose-t3-integration.jsonl,23.46,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestConcurrentAccountsOwnTheirBusinessChanges,pass,rcc-goose-t3-integration.jsonl,23.56,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestConcurrentAccountsOwnTheirBusinessChanges/actor_alpha,pass,rcc-goose-t3-integration.jsonl,0.61,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestConcurrentAccountsOwnTheirBusinessChanges/actor_beta,pass,rcc-goose-t3-integration.jsonl,0.6,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestCurrentGooseInstallationMatchesFrozenAdoptionStructure,pass,rcc-goose-t3-integration.jsonl,8.89,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestCurrentSchemaEntryPointsDoNotRestoreRetiredInitialization,pass,rcc-goose-t3-integration.jsonl,0,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestCurrentSessionUsesRolePermissionMatrix,pass,rcc-goose-t3-integration.jsonl,25.62,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestDatabaseTableDetailReturnsLiveMetadataAndStableNotFoundError,pass,rcc-goose-t3-integration.jsonl,20.69,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestDatabaseTableListDiscoversOnlyOrdinaryBaseTables,pass,rcc-goose-t3-integration.jsonl,22.47,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestEnabledTablePolicyQueriesExactRowsWithPolicyDefaults,pass,rcc-goose-t3-integration.jsonl,13.42,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestExactQueryUsesANDValidatedSortAndPreservesAnEmptyRequestedPage,pass,rcc-goose-t3-integration.jsonl,12.36,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestExternalDDLRaceFailsSafelyWithoutStorageDetails,pass,rcc-goose-t3-integration.jsonl,13.7,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestHealthDistinguishesRunningProcessFromRequiredInfrastructure,pass,rcc-goose-t3-integration.jsonl,10.31,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestInFlightQueryKeepsOnePolicySnapshotWhileReplacementAffectsNextRequest,pass,rcc-goose-t3-integration.jsonl,10.99,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLastEnabledAdministratorCannotBeRemovedOrDisabled,pass,rcc-goose-t3-integration.jsonl,24.14,1
