package,test,final_result,passing_log
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaBaselineUsesTransactionalVersionLedger,pass,corrections-verified
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationAddsFieldPoliciesWithoutChangingPublishedState,pass,corrections-verified
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationCommittedVersionNeedsConfirmedRecovery,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationConcurrentInitialization,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationConnectionDeadlineAndSafeDiagnostics,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationInitializesEmptyDatabase,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationLeavesUnmanagedDatabaseUntouched,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationPartialDDLRequiresExplicitRecovery,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationProcessInterruptionRequiresSameReleaseRecovery,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationRecoversInterruptedBootstrap,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationRecoversMissingZeroVersion,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationRejectsIncompleteVersionHistory,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationUpgradesToNextRelease,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaMigrationWaitsForMaintenanceLockWithDeadline,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/ahead,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/empty_roles,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/field_policy_check,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/field_policy_unique_key,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/journal_column,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/journal_engine,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/missing_column,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/missing_field_policy,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/missing_index,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/missing_required_metadata,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/older_unconfirmed_attempt,pass,integration
